,Position,link,Company,Department,Location,desc
35,STAGE CHEF DE PROJET TRANSFORMATION DIGITALE (H/F),/Cartier/job/Paris-J/631678501/,Cartier,Manufacturing,"Paris, J, FR","©Cartier Joaillerie International
ANNONCE

STAGE CHEF DE PROJETS TRANSFORMATION DIGITALE (H/F)
6 MOIS 

Numéro 1 mondial de la Joaillerie et n°2 de l'horlogerie de prestige, Cartier l’une des 16 Maisons du Groupe Richemont, fait rimer savoir-faire et excellence depuis 1847. 
 
Avec plus de 7500 collaborateurs, de 90 nationalités différentes, Cartier offre des opportunités dans une très grande diversité de métiers et évolue autour de valeurs fortes. Au fil des années, plusieurs engagements ont été pris par la Maison, afin de permettre d’avoir un impact positif via des initiatives culturelles, éthiques, sociales et environnementales. La Maison a su imposer un style et un univers unique et faire de ses créations de véritables mythes, et ce grâce à des femmes et des hommes qui font de leur passion leur métier. 
 
Lieu de rencontre entre modernité et tradition, le Manufacturing Cartier Joaillerie développe et assure la production de pièces joaillières d’exception en alliant performance logistique, savoir-faire techniques et innovation. 
 
Intégré(e) au sein de la Direction Stratégie Industrielle de Cartier Joaillerie International, dans l’équipe Valorisation Des Données, vous êtes rattaché(e) à la coordinatrice de projets. Vous participerez à la transformation digitale de l’entreprise et vous contribuerez activement à l’animation de notre démarche d’entreprise d’Assurance Qualité des Données.
 
Missions :
 
Dans ce cadre, vos missions seront les suivantes :
 
Participer à la transformation digitale d’un processus métier 
-    Participer à la gestion et le pilotage du projet 
-    Accompagner la mise en œuvre d’un projet RPA
-    Challenger et comprendre les besoins et les enjeux
-    Accompagner le changement
 
Maintenir l’offre de service sur la Qualité des Données
-    Recueillir et analyser le besoin
-    Prioriser les demandes
-    Développer des requêtes en langage SQL 
 
Piloter des projets transverses pour la démarche d’Assurance Qualité des Données 
-    Réaliser les cadrages des projets
-    Elaborer des plannings de mise en œuvre 
-    Piloter les projets en autonomie
-    Communiquer sur les avancés des projets
-    Accompagner le changement
 
Contribuer à la gestion de la connaissance de l’équipe (Knowledge Management)
 
Profil recherché :
Issu(e) d’une formation Ingénieur, vous recherchez une première expérience dans le domaine de la gestion de projets. Vous avez un fort intérêt pour les aspects fonctionnels et organisationnels de l’entreprise et pour la transformation digitale. Vous avez également des compétences de développement en langage SQL.
 
Informations complémentaires :
Lieu de travail : Paris
Début du stage : Mars 2021 (6 mois)
 
L’univers de Cartier vous inspire? Nous vous invitons à partager avec nous vos talents, rêves et ambitions! Retrouvez nos offres et postulez sur notre site : www.careers.cartier.com
 
"
36,STAGE ASSISTANT PRODUCT OWNER (H/F),/Cartier/job/Paris-J/631667701/,Cartier,IT,"Paris, J, FR","©Cartier Joaillerie International
ANNONCE

STAGE ASSISTANT PRODUCT OWNER (H/F)
6  MOIS

Numéro 1 mondial de la Joaillerie et n°2 de l'horlogerie de prestige, Cartier l’une des 16 Maisons du Groupe Richemont, fait rimer savoir-faire et excellence depuis 1847. 
 
Avec plus de 7500 collaborateurs, de 90 nationalités différentes, Cartier offre des opportunités dans une très grande diversité de métiers et évolue autour de valeurs fortes. Au fil des années, plusieurs engagements ont été pris par la Maison, afin de permettre d’avoir un impact positif via des initiatives culturelles, éthiques, sociales et environnementales. La Maison a su imposer un style et un univers unique et faire de ses créations de véritables mythes, et ce grâce à des femmes et des hommes qui font de leur passion leur métier. 
 
Lieu de rencontre entre modernité et tradition, le Manufacturing Cartier Joaillerie développe et assure la production de pièces joaillières d’exception en alliant performance logistique, savoir-faire techniques et innovation. 
 
Intégré(e) au sein de l’équipe Projets SI Transverses de la Direction Transformation Digitale, vous contribuerez activement à un projet BPM (Business Process Management) consistant à mettre en place une application permettant de piloter le processus métier end-to-end de gestion de la Commande spéciale Joaillerie et Haute Joaillerie et à accompagner son déploiement dans l’ensemble des filiales de la marque.

Missions :
 
Dans ce cadre, vos missions seront les suivantes :
•    Participer à la gestion et au pilotage du projet
•    Comprendre les besoins métiers et les enjeux associés
•    Participer aux rituels de suivi agile de type scrum (sprint planning, sprint review, ...) et réaliser les tests
•    Rédiger les cahiers de tests métiers et suivre l’avancement de ces tests en interface avec tous les métiers intervenant dans le processus
•    Accompagner le changement (support, documents de formation et de communication)

Profil recherché :
 
Etudiant(e) en école d’ingénieur généraliste, vous êtes à la recherche d’un stage de fin d’études dans le domaine de la gestion de projet. Vous avez un fort intérêt pour les aspects fonctionnels et organisationnels et pour la transformation digitale des entreprises.
Qualités requises : Autonomie, méthodologie, rigueur, écoute, ouverture, bon relationnel, esprit d’équipe

Informations complémentaires :
Lieu de travail : Paris 
Début du stage : Février 2021 (6 mois)

L’univers de Cartier vous inspire? Nous vous invitons à partager avec nous vos talents, rêves et ambitions! Retrouvez nos offres et postulez sur notre site : www.careers.cartier.com
 
"
37,STAGE CHEF DE PROJETS TRANSVERSES PRODUCTION (H/F) REIMS,/Cartier/job/Paris-J/631644001/,Cartier,Manufacturing,"Paris, J, FR","©Cartier Joaillerie International
ANNONCE

STAGE CHEF DE PROJETS TRANSVERSES PRODUCTION (H/F) REIMS
6 MOIS 
 
Numéro 1 mondial de la Joaillerie et n°2 de l'horlogerie de prestige, Cartier l’une des 16 Maisons du Groupe Richemont, fait rimer savoir-faire et excellence depuis 1847. 
 
Avec plus de 7500 collaborateurs, de 90 nationalités différentes, Cartier offre des opportunités dans une très grande diversité de métiers et évolue autour de valeurs fortes. Au fil des années, plusieurs engagements ont été pris par la Maison, afin de permettre d’avoir un impact positif via des initiatives culturelles, éthiques, sociales et environnementales. La Maison a su imposer un style et un univers unique et faire de ses créations de véritables mythes, et ce grâce à des femmes et des hommes qui font de leur passion leur métier. 
 
Lieu de rencontre entre modernité et tradition, le Manufacturing Cartier Joaillerie développe et assure la production de pièces joaillières d’exception en alliant performance logistique, savoir-faire techniques et innovation. 
 
Intégré(e) à notre unité de production Joaillerie, dont la principale mission est la fabrication des créations Cartier en respectant les exigences coût qualité délai de notre Maison. Plus précisément, vous serez rattaché(e) au chef de projets transverses de l’équipe. Votre mission principale sera de piloter un projet de compétitivité autour de l’optimisation d’une gamme de fabrication.
 
Missions :
 
Dans ce cadre, vos missions seront les suivantes :

•    Editer les indicateurs de performance du produit concerné
•    Identifier les éléments de la gamme en décalage avec le standard ou à optimiser au moyen de benchmark avec nos partenaires externes
•    Analyser les causes de non performance sur le terrain avec les personnes impliquées sur le produit
•    Coordonner les propositions d’amélioration de gamme résultant de l’analyse
•    Mener les plans d’expérience sur le terrain avec les équipes concernées 
 
Profil recherché :
Issu(e) d’une formation ingénieur (bac +4/5), si possible en lien avec un environnement industriel (mesures physiques, production, matériaux, mécanique), vous aimez le terrain, travailler en équipe et faire preuve de bon sens. Pour mener à bien cette mission il vous faudra faire preuve d’autonomie, de rigueur, de curiosité pour comprendre et analyser les problématiques afin de proposer des solutions dans le but d’améliorer notre performance. La maîtrise d’un logiciel de CAO (Solidworks, etc) est un plus.
 
Informations complémentaires :
Lieu de travail : Reims
Début du stage : Février 2021 (6 mois)
 
L’univers de Cartier vous inspire? Nous vous invitons à partager avec nous vos talents, rêves et ambitions! Retrouvez nos offres et postulez sur notre site : www.careers.cartier.com
 
"
38,STAGE INGENIEUR AMELIORATION CONTINUE (H/F),/Cartier/job/Paris-STAGE-INGENIEUR-AMELIORATION-CONTINUE-%28HF%29-J/631630101/,Cartier,Manufacturing,"Paris, J, FR","©Cartier Joaillerie International
annonce
 
STAGE INGENIEUR AMELIORATION CONTINUE (H/F)
6 MOIS
 
 
Numéro 1 mondial de la Joaillerie et n°2 de l'horlogerie de prestige, Cartier l’une des 16 Maisons du Groupe Richemont, fait rimer savoir-faire et excellence depuis 1847. 
 
Avec plus de 7500 collaborateurs, de 90 nationalités différentes, Cartier offre des opportunités dans une très grande diversité de métiers et évolue autour de valeurs fortes. Au fil des années, plusieurs engagements ont été pris par la Maison, afin de permettre d’avoir un impact positif via des initiatives culturelles, éthiques, sociales et environnementales. La Maison a su imposer un style et un univers unique et faire de ses créations de véritables mythes, et ce grâce à des femmes et des hommes qui font de leur passion leur métier. 
 
Lieu de rencontre entre modernité et tradition, le Manufacturing Cartier Joaillerie développe et assure la production de pièces joaillières d’exception en alliant performance logistique, savoir-faire techniques et innovation. 
 
Intégré(e) au sein de l’atelier Joaillerie Paris du Manufacturing Cartier, vous participez à la fiabilisation des gammes de fabrication des produits de type « Bridal », en partant de l’analyse historique des données réelles sur SAP. La finalité est d’être plus pertinent dans l’exercice périodique de planification et d’adéquation charge / capacité.
 
MISSIONS : 
 
Dans ce cadre, vos missions seront les suivantes :

Analyse des données historiques de production disponibles sous SAP pour les différentes esthétiques
Comparaison des temps réels versus gammes actuelles dans SAP
Définition des temps cibles en collaboration avec l’atelier (rationalisation par esthétique)
Modification des gammes sur SAP (utilisation d’outils d’aide au chargement en masse)
Quantification des impacts de ces modifications sur la modélisation charge / capacité

 
PROFIL RECHERCHE :
 
Issu(e) d’une formation ingénieur (bac +4/5), si possible en lien avec un environnement industriel (mesures physiques, production, matériaux, mécanique), vous aimez le terrain, travailler en équipe et faire preuve de bon sens. Pour mener à bien cette mission il vous faudra faire preuve d’appétence pour la manipulation et l’analyse de données.
 
INFORMATIONS COMPLEMENTAIRES : 
 
Lieu de travail : Paris
Début du stage : Février 2021 (6 mois)
 
 
L’univers de Cartier vous inspire? Nous vous invitons à partager avec nous vos talents, rêves et ambitions! Retrouvez nos offres et postulez sur notre site : www.careers.cartier.com
"
39,STAGE CHEF DE PROJETS LOGISTIQUE (H/F),/Cartier/job/Paris-J/631706201/,Cartier,Manufacturing,"Paris, J, FR","©Cartier Joaillerie International
ANNONCE

STAGE CHEF DE PROJETS LOGISTIQUES (H/F)
6 MOIS

Numéro 1 mondial de la Joaillerie et n°2 de l'horlogerie de prestige, Cartier l’une des 16 Maisons du Groupe Richemont, fait rimer savoir-faire et excellence depuis 1847. 
 
Avec plus de 7500 collaborateurs, de 90 nationalités différentes, Cartier offre des opportunités dans une très grande diversité de métiers et évolue autour de valeurs fortes. Au fil des années, plusieurs engagements ont été pris par la Maison, afin de permettre d’avoir un impact positif via des initiatives culturelles, éthiques, sociales et environnementales.  La Maison a su imposer un style et un univers unique et faire de ses créations de véritables mythes, et ce grâce à des femmes et des hommes qui font de leur passion leur métier.
 
Lieu de rencontre entre modernité et tradition, le Manufacturing Cartier Joaillerie développe et assure la production de pièces joaillières d’exception en alliant performance logistique, savoir-faire techniques et innovation.
 
Intégré(e) au sein de la Direction Expertise et flux pierres, vous êtes rattaché(e) plus précisément au Responsable Projets Logistiques. Vous participerez à la mise en place et au suivi de projets logistiques, à la coordination des sujets opérationnels du département, et vous contribuez activement à la démarche d’amélioration continue. 
 
Missions :
 
Dans ce cadre, vos principales missions seront les suivantes : 
 
Contribution aux projets logistiques et digitaux du département :
-    Identifier les nouveaux besoins et préparer les futurs « pitchs » projets (pré-études avant la phase de cadrage et la mise en place opérationnelle d’un projet)
-    Contribuer au déploiement de projets déjà cadrés au sein des équipes et à leur bonne mise en application
 
Amélioration continue de l’activité logistique :
-    Piloter des chantiers d’amélioration continue au sein des équipes logistiques du département : amélioration des conditionnements, optimisation des opérations logistiques (simplification des flux systèmes ou physiques, digitalisation de processus), etc…
-    Participer au recensement des bonnes pratiques logistiques/informatiques et à leur diffusion
 
Coordination des encours ateliers et fournisseurs : 
-    Animer le suivi des pierres confiés, en cours de contrôle et en transit entre les différents ateliers de production et fournisseurs
-    Coordonner le processus mensuel des réconciliations métal auprès des Responsables de flux et ateliers de production
-    Etre force de proposition et participer à l’amélioration de ces processus
 
Vous travaillerez en interaction avec les équipes logistiques, expertise pierres, finance, les différents ateliers de production, et les équipes digitales.
 
Profil recherché :
 
Actuellement en année de césure ou en dernière année de formation de type Ecole d’ingénieur, une spécialisation supply chain/logistique est un plus. Vous aimez le contact métier et vous recherchez un stage orienté terrain. Vous avez un très bon niveau Excel, idéalement PowerBi et vous êtes à l’aise et avez une bonne compréhension des systèmes d’information (connaissances en SAP est un plus). 
 
Informations complémentaires :
Lieu de travail : Paris
Début du stage : Mars 2021 (pour 6 mois)

L’univers de Cartier vous inspire? Nous vous invitons à partager avec nous vos talents, rêves et ambitions! Retrouvez nos offres et postulez sur notre site : www.careers.cartier.com
 
"
40,Contrôleur Qualité Pierres,/VanCleef-Arpels/job/Paris-Contr%C3%B4leur-Qualit%C3%A9-Pierres-75/631686201/,Van Cleef & Arpels,Manufacturing,"Paris, 75, FR","Correspondez-vous au profil ?
 
Diplômé d’une école de gemmologie, vous avez une passion pour les pierres de couleur, pierres dures, précieuses et fines ? 
Vous avez une expérience de 2 à 3 ans de tri au sein d’une maison de Joaillerie ou chez un négociant ?
Minutieux(se) et organisé(e), vous êtes sensible à l’univers de la Joaillerie ?
Vous êtes reconnu(e) pour votre autonomie, votre rigueur et votre organisation ?
 
Si tel est le cas, n’hésitez pas à postuler !
 
 
Qu’attendons-nous de vous ?
 
Au sein du pôle Joaillerie du service Pierres et sous la supervision de l’Expert Pierres, le Contrôleur Qualité est en charge de contrôler les critères de qualité des pierres de couleur précieuses, fines et dures, de réaliser le tri des marchandises pour les pièces en gamme et les nouveautés et d’assurer la partie administrative inhérente à la mise en stock.
A ce titre, vos missions consistent à réceptionner les pierres et en contrôler la qualité, couleur, taille selon le cahier des charges de la Maison, à trier les marchandises. Vous êtes l’interface avec les ateliers et les fournisseurs et gérez et mettez à jour les différents documents de suivi liés à l’activité. Vous participez à la réalisation de devis simples. Vous participez à l’inventaire annuel. 
 
 Plus qu’un poste … une expérience !
 
Intégrer la Maison Van Cleef & Arpels, c'est avant tout rejoindre une équipe où le développement des collaborateurs est au cœur de notre ambition.
Vous aurez ainsi l'opportunité d’une intégration complète avec des formations sur notre histoire, nos savoir-faire et créations et un accompagnement quotidien.
 
 Le Processus de recrutement
 
Postulez directement en ligne
Si votre profil est sélectionné, vous êtes contacté(e) par l'équipe RH pour un entretien dans nos locaux. Sinon, vous recevez un email vous informant du refus de votre candidature.
Vous rencontrez ensuite l’experte Pierres de Couleur puis la directrice Adjointe du Service Pierres.
 
#BloomWithVca
"
41,"SENIOR ACHETEUR PLANNER PACKAGING, PLV & SAV (H/F)",/Chloe/job/75008-PLANNER-PACKAGING%2C-PLV-&-SAV-%28HF%29-75/631669001/,Chloé,Supply Chain & Logistics,"75008, 75, FR","Au sein du département Supply Chain vous assurez une coordination complète sur le packaging, la PLV et le SAV.
 
Sur les sujets de PLV, Packaging, CRM, VM :
1-Assurer l’approvisionnement et la distribution des produits :

Suivi des commandes articles permanents :

Travailler en étroite collaboration avec les interlocuteurs clés afin de consolider les besoins annuels et donner de la visibilité aux fournisseurs sur l’ensemble du portefeuille produits
Paramétrage MRP, suivi des consommations, minima de commande
Gestion des stocks internes et externes 
Suivi de l’adéquation charge-capacité des fournisseurs, arbitrages si nécessaire


Suivi des commandes articles saisonniers :

Lancement, suivi (coût, qualité, délais) et communication sur les commandes en cours 


Suivi des développements de nouveaux articles / fournisseurs 

Participation aux revues articles 
Suivi des contretypes et négociation coût, qualité, délais


Gestion des stocks internes et externes 
Pilotage du TTM bi mensuel 

 
2- Sélectionner les fournisseurs et réaliser les négociations de prix (achat)
 
3- Assurer le déploiement de la stratégie CSR et compliance 

Garant des guidelines CSR et compliance auprès du parc de fournisseurs 
Représentant Maison Chloé au comité packaging groupe Richemont
Participation active au comité CSR Chloé et aux projets CSR Richemont

 
Service après-vente – pièces détachées 

Lancement des commandes, suivi des coûts et des délais d’approvisionnement
Paramétrage MRP et suivi des consommations
Gestion des stocks internes et externes 
Participation au meeting Time To Market bi-mensuel 

 
Profil : 
Vous bénéficiez d’une expérience similaire d’environ 5 à 7 ans dans une autre structure. 
Vous savez coordonner des projets de A à Z. 
Votre aisance relationnelle vous permet de comprendre les besoins d’équipes très différentes. 
Vous avez de fortes compétences analytiques avec une maitrise avancée d'Excel.
Anglais courant obligatoire
"
42,CDI - Chef de Projet Transformation Nouveauté (H/F),/Cartier/job/Paris-75/631685301/,Cartier,Manufacturing,"Paris, 75, FR","Numéro 1 mondial de la Joaillerie et n°2 de l'horlogerie de prestige, Cartier fait rimer savoir-faire et excellence depuis 1847. Bien plus qu'une simple entreprise, la Maison a su faire de ses créations de véritables mythes, et ce, grâce à des hommes et des femmes qui font de leur passion leur métier.
 
 
Dans un contexte d’augmentation du plan de lancement et de la nouvelle organisation posée par CJI, le département Transformation Nouveauté, intégré au sein de la Direction Produits et Services, a la charge de deux missions principales : 

la transformation du développement nouveauté pour améliorer les exigences de performance, agilité, et de réduction du temps de développement, 
la performance globale du portefeuille des projets en développement.

 
En tant que Chef de projet Transformation Nouveauté, vous aurez en charge la partie Transformation de la Nouveauté qui impacte plus de 250 collaborateurs sur les 4 sites (PJF, PHJ, PJS et PGI) : le pilotage macro du projet, sa communication au près des équipes et l’animation des ateliers des travail avec l’ensemble des collaborateurs.
 
Vos principales responsabilités sont les suivantes :
 
1/ Animer des ateliers de transformation avec les équipes

Anime les réunions mensuelles avec les Départements (Pôles, Qualité centrale, Département Pierres, Transformation digitale…) 
Est responsable de la préparation des points mensuels, et des tableaux de suivi des actions
Est en charge du volet RH du projet de transformation

 
2 / Construire les outils nécessaires à la transformation

Formalise les outils nécessaires à la transformation (ppt de gouvernance, check liste Excel, outils digitaux, rôles et responsabilités…)
Est en charge de la mise à jour du Share Point, notamment sur la partie documents de références (up-date annuel compris)
Est en charge de la construction de tous les outils digitaux
	 

3/ Piloter au niveau macro le projet de transformation

Ecrit avec le Directeur la vision, feuille de route et l’organisation du projet
S’assure que les moyens mis en œuvre sont pertinents au regard de l’objectif
Prépare les Copil et Revue Transformation Nouveauté
	 

4/ Communiquer sur le projet

Construit le planning de communication et le contenu des différents supports en partenariat avec la communication interne (films, articles Cartier Connect, Zoominaire…)
Est responsable du sondage mensuel, de son analyse et des propositions d’actions correctives
Est responsable de la construction, et de la mise à jour d’un outil de communication sur le projet (Prezzi)
Participe aux moments de communication (Zoominaire…)

 
5/ Encadre le stagiaire pour l’aider dans ses missions
 
Votre profil :
 
Fort d’une expérience confirmée en gestion de projet, vous justifiez d’une bonne connaissance du processus nouveauté, idéalement en joaillerie. De caractère curieux/se et dynamique, vous êtes à l’aise de travailler sur des projets de transformation d’entreprise, dans des contextes de changement rapides, comprenant une aisance avec :

les outils digitaux (Excel, PPT, Prezzi, Sondage internet…)
les enjeux de communication : communication positive, synthétique, avec capacité de persuasion

 
Vous avez démontré votre capacité à produire des livrables concrets, ayant un impact direct sur l’organisation du travail. Les facteurs clés de succès du poste seront l’autonomie, la force de proposition, la capacité à être « problème solver », et la capacité de coordination/priorisation des sujets (passage du macro/micro).
 
Vos qualités humaines, votre capacité d’écoute, d’adaptation et votre aisance relationnelle avec tous types de profils font de vous un/e bon/ne communicant/e, en proximité avec le terrain, sans que vous perdiez le cap de vos objectifs.
 
Votre esprit analytique, structuré, et votre vision vous permettent d’anticiper les problématiques et de comprendre rapidement les enjeux globaux/locaux à différentes échelles de temps (court, moyen et long terme).
"
43,STAGE USER INTERFACE DESIGNER (H/F),/Cartier/job/Paris-STAGE-USER-INTERFACE-DESIGNER-%28HF%29-1-J/631680101/,Cartier,IT,"Paris, J, FR","©Cartier Joaillerie International
Annonce
STAGE USER INTERFACE DESIGNER (H/F)
6 MOIS
 
Numéro 1 mondial de la Joaillerie et n°2 de l'horlogerie de prestige, Cartier l’une des 16 Maisons du Groupe Richemont, fait rimer savoir-faire et excellence depuis 1847. 
 
Avec plus de 7500 collaborateurs, de 90 nationalités différentes, Cartier offre des opportunités dans une très grande diversité de métiers et évolue autour de valeurs fortes. Au fil des années, plusieurs engagements ont été pris par la Maison, afin de permettre d’avoir un impact positif via des initiatives culturelles, éthiques, sociales et environnementales. La Maison a su imposer un style et un univers unique et faire de ses créations de véritables mythes, et ce grâce à des femmes et des hommes qui font de leur passion leur métier. 
 
Lieu de rencontre entre modernité et tradition, le Manufacturing Cartier Joaillerie développe et assure la production de pièces joaillières d’exception en alliant performance logistique, savoir-faire techniques et innovation. 
 
Cartier Joaillerie International recherche un(e) stagiaire User Interface Designer au sein de l’équipe Projets SI Transverses de la Direction Transformation Digitale.
 
Missions :
 
Au sein de l’équipe Projets SI Transverses, votre projet principal consistera en la mise en place d’un environnement graphique contribuant à faciliter et rendre plus agréable l’expérience utilisateur sur l’ensemble de nos applications digitales.
Vos principales missions seront les suivantes :

Contribuer à la mise en place d’une charte graphique commune,
Poser les standards d’ergonomie,
Définir en collaboration avec les chefs de projets digitaux de l’équipe une feuille de route permettant de faire converger progressivement l’ensemble des applications pour rendre l’expérience utilisateur plus homogène,
Et au passage former et diffuser les bonnes pratiques du design.

 
Profil recherché :
 
Etudiant(e) en école spécialisée en graphisme, multimédia ou informatique, vous êtes à la recherche d’un stage dans le domaine de l’UI Design. Ce stage vous permettra également de découvrir le monde de la joaillerie à travers la gestion des projets digitaux.
Qualités requises : Autonomie, méthodologie, écoute, esprit de synthèse, orientation résultats, communication.
 
Informations complémentaires :
Lieu de travail : Paris
Début du stage : Janvier/Février 2021 (6 mois)
 
L’univers de Cartier vous inspire? Nous vous invitons à partager avec nous vos talents, rêves et ambitions! Retrouvez nos offres et postulez sur notre site : www.careers.cartier.com
"
44,SUPPLY PLANNER (H/F),/Chloe/job/75008-SUPPLY-PLANNER-%28HF%29-75/631636301/,Chloé,Supply Chain & Logistics,"75008, 75, FR","Intégré au sein du département Supply Chain, dans l’équipe Supply & Demand Planning vous assurez une double mission pour contribuer à la performance de nos collections.
 
Pilotage de la Supply  sur la catégorie Prêt à porter
 
Assurer la mise à disposition des nouvelles collections de l’ensemble de la catégorie prêt à porter (Chloé et See By Chloé) sur tous les canaux : Digital, Retail et wholesale en fonction des dates de lancement définies, en pilotant la distribution jusqu’aux points de vente.
 

Piloter & contrôler quotidiennement l’allocation des stocks aux marchés, dans l’outil ANAPLAN.
Assurer l’interface & la communication entre la production et les marchés, à travers une participation active aux réunions Time to Market hebdomadaire
Gérer les pénuries par un arbitrage central en coordination avec les départements concernés
En cours de collection, piloter le suivi hebdomadaire des sell-thru en collaboration avec le merchandising et assurer les rebalancings nécessaires pour optimiser le ST%
Répondre aux demandes de stocks ponctuelles des régions
Mise en place de rapports et process structurés, efficace afin de donner de la visibilité sur l’activité de distribution aux régions et aux commerciaux
Assurer le paramétrage d’Anaplan et des règles de priorisation d’allocation.
A l’issue des showrooms, transmettre à la production des besoins à produire en lien avec les plans de vente

 
Pilotage du stock monde toutes catégories :
 
- Coordonner l’ensemble des initiatives visant à optimiser le niveau de stock global
- Coordonner les rebalancing de stock entre les régions (Retail and wholesales) en collaboration avec les supply planner régionaux.
- Challenger l’assortiment de permanents afin d’optimiser les ratios sales /stock vs réseau de distribution.
- Publication hebdomadaire de la liste de stock disponible en central 
- Construire un rapport pertinent pour les supply planner afin de piloter leur niveau de stock 
 
PROFIL
 
Vous bénéficiez d’une expérience de 3 à 5 ans en supply planning.
Analytique, autonome, rigoureux, vous avez un fort sens du service.
Vous êtes un bon communiquant avec un fort esprit d’équipe. 
Aptitudes avancées sur le traitement et la visualisation des datas (ventes, stocks, etc..) : powerbi, power query. 
Anglais courant obligatoire
 
"
45,STAGE CHEF DE PROJET PERFORMANCE DES PROJETS DE LA NOUVEAUTE (H/F),/Cartier/job/Paris-STAGE-CHEF-DE-PROJETS-AM%C3%89LIORATION-DES-NOUVEAUT%C3%89S-ET-MADE-IN-CARTIER-%28HF%29-1-J/631635601/,Cartier,Manufacturing,"Paris, J, FR","©Cartier Joaillerie International
ANNONCE

STAGE CHEF DE PROJET PERFORMANCE DES PROJETS DE LA NOUVEAUTE (H/F)
6 MOIS

Numéro 1 mondial de la Joaillerie et n°2 de l'horlogerie de prestige, Cartier l’une des 16 Maisons du Groupe Richemont, fait rimer savoir-faire et excellence depuis 1847. 
 
Avec plus de 7500 collaborateurs, de 90 nationalités différentes, Cartier offre des opportunités dans une très grande diversité de métiers et évolue autour de valeurs fortes. Au fil des années, plusieurs engagements ont été pris par la Maison, afin de permettre d’avoir un impact positif via des initiatives culturelles, éthiques, sociales et environnementales. La Maison a su imposer un style et un univers unique et faire de ses créations de véritables mythes, et ce grâce à des femmes et des hommes qui font de leur passion leur métier. 
 
Lieu de rencontre entre modernité et tradition, le Manufacturing Cartier Joaillerie développe et assure la production de pièces joaillières d’exception en alliant performance logistique, savoir-faire techniques et innovation. 
 
Intégré(e) au sein de la Direction Produits et Services, vous interviendrez dans le cadre du programme de Transformation du développement produits, auprès des équipes sur tout le périmètre Manufacturing Joaillerie, vous intégrez l’équipe « Performance Projets Nouveauté » pour mener des chantiers de progrès et de transformation.
 
Missions :
 
Dans ce cadre, vos missions consisteront à :
 

S’assurer et contribuer à la qualité de la donnée notamment en pilotant les indicateurs de contrôles d’intégrité
Mettre à jour quelques données dans notre outil interne (Planet)
Mettre à jour les indicateurs de suivi de la Nouveauté et être force de proposition sur l’évolutif des indicateurs du service
Piloter le workflow de création des références pour nos évènements
Participer à la mise en place de la démarche d’amélioration continue « Made In Cartier » dans le Département
Accompagner les collaborateurs dans la mise en place de cette démarche d’Amélioration Continue ainsi que dans la mise en place d’outils efficients et pertinents

 
Profil recherché :

Actuellement en formation d’école d’ingénieur généraliste, vous recherchez un stage de césure ou de fin d’études. Votre aisance à manier les chiffres est à construire les KPI’s de suivi est crucial pour ce poste. Votre rigueur, votre aptitude relationnelle, votre humilité, votre dynamisme et votre force de proposition seront des atouts nécessaires à la réalisation de votre mission.
 
Informations complémentaires :
 
Lieu de travail : Paris 
Début du stage : Février 2021 (6 mois)
 
L’univers de Cartier vous inspire? Nous vous invitons à partager avec nous vos talents, rêves et ambitions! Retrouvez nos offres et postulez sur notre site : www.careers.cartier.com
 
"
